推數,噓數,文章分數,文章作者,文章名稱,發表時間
3,3,0,TtTt4 (夜間飛行),[問卦] 有醫師的小孩很自由的八卦嗎,Wed Nov  3 13:34:06 2021
3,0,3,junglecool (安德爾斯),[問卦] 有關11月中下旬台灣離島旅遊,Wed Nov  3 16:17:55 2021
4,0,4,drosyo (digbick),[問卦] 朋友考第二名怎麼安慰他,Wed Nov  3 11:40:15 2021
4,2,2,hankwanghow (...),[問卦] 服務費10趴 合理？,Wed Nov  3 15:35:04 2021
6,0,6,nextpage (內湖亨利塚本),[問卦] 服過軍事義務役的意見領袖是不是空集合？,Wed Nov  3 16:01:51 2021
8,3,5,vikk33 (vikk33),[問卦] 核四不蓋，但是沒說不蓋核五六七八九...,Wed Nov  3 14:37:14 2021
2,0,2,mystage (亭),[問卦] 核四每個人都出了一萬多塊，怎麼付？,Wed Nov  3 15:34:23 2021
5,2,3,Zabuzan ({.}),[問卦] 核災仔的一天是怎麼過的？,Wed Nov  3 14:13:53 2021
8,0,8,jack97256 (雪芙第一),[問卦] 核電的風向如何啊,Wed Nov  3 14:47:57 2021
3,2,1,fm4n3187 (無言),[問卦] 橘子跟靜香誰比較正？,Wed Nov  3 14:16:46 2021
7,1,6,kone33221 (阿揪),[問卦] 欸欸 花語都是誰想出來的？,Wed Nov  3 14:51:33 2021
17,1,16,jokerming847 (God of Mischief),[問卦] 欸！女生的男閨蜜是什麼意思？,Wed Nov  3 14:17:01 2021
7,1,6,taiwannext (2016綠營重新執政 ),[問卦] 歐洲也反中國挺台灣 中國外交大失敗？,Wed Nov  3 12:35:11 2021
2,1,1,opfish (coco),[問卦] 民主國家國民自己要用電自己蓋不就好了,Wed Nov  3 12:19:55 2021
3,0,3,fraternity (聽說小新比魯夫聰明),[問卦] 沒有打招呼，很容易被記恨嗎？？,Wed Nov  3 15:55:16 2021
6,1,5,sosocan (sosocan),[問卦] 湳雅樂華夜市怎麼選？,Wed Nov  3 14:02:58 2021
10,4,6,IslamicState (伊斯蘭國-不亂砍頭),[問卦] 火鍋到底要先吃菜還先吃肉,Wed Nov  3 13:09:36 2021
3,0,3,zxcc79 (去骨雞),[問卦] 為什麼亞特蘭大勇士隊不拋彩帶？,Wed Nov  3 11:34:13 2021
51,29,22,a09651238 (可口美味好滋味),[問卦] 為什麼全世界只有華人會把餃子當正餐？,Wed Nov  3 12:59:39 2021
10,2,8,asdf123orz (魯王),[問卦] 為什麼國軍掉發射架媒體那麼快知道？,Wed Nov  3 15:25:08 2021
2,1,1,Zepho (MO),[問卦] 為什麼打靶不給紅點全息,Wed Nov  3 16:35:27 2021
10,1,9,ndhuctc (神夜天月),[問卦] 為什麼覺青覺得種樹就能減碳,Wed Nov  3 12:38:10 2021
6,0,6,ss8901234 (絕命六龜葡萄),[問卦] 為什麼銀行一直打來要我信貸,Wed Nov  3 12:52:33 2021
9,2,7,qazStarStar (我不是派大星),[問卦] 為何全世界都愛討伐亞洲統神？,Wed Nov  3 16:22:03 2021
2,1,1,NT9999 (台幣九千九百九十九),[問卦] 牛樟芝瑪卡鋅 很猛？,Wed Nov  3 16:24:40 2021
4,1,3,d995511 (flcl),[問卦] 現在國中還會少1分打一下嗎？,Wed Nov  3 12:03:58 2021
